B1,B2,B3,B4,B5,B6,B7,classvalue,sample
0.0584,0.0663,0.0697,0.041,0.0402,0.0337,0.0346,1,train
0.059,0.0676,0.0699,0.0403,0.0381,0.033,0.033,1,train
0.059,0.0668,0.0699,0.0392,0.0386,0.0322,0.0335,1,train
0.0596,0.0694,0.0701,0.0399,0.0398,0.0329,0.0332,1,train
0.0596,0.0681,0.07,0.0408,0.0376,0.0333,0.0328,1,train
0.05955,0.06675,0.07,0.04025,0.03915,0.0324,0.03265,1,train
0.05955,0.06915,0.0712,0.0406,0.04035,0.0332,0.0332,1,train
0.0604,0.0705,0.0758,0.0407,0.03765,0.03055,0.0313,1,train
0.0604,0.0705,0.0742,0.04075,0.0398,0.03205,0.0324,1,train
0.059,0.06855,0.07275,0.0404,0.03895,0.0315,0.03205,1,train
0.059,0.06925,0.07225,0.03965,0.0377,0.03225,0.0329,1,train
0.05815,0.06835,0.0711,0.0394,0.0393,0.0311,0.0322,1,train
0.05815,0.06555,0.07125,0.0397,0.0402,0.0317,0.0329,1,train
0.0584,0.0649,0.0689,0.0389,0.0387,0.0336,0.0328,1,train
0.0584,0.0658,0.0685,0.0387,0.0367,0.0306,0.0316,1,train
0.0581,0.0639,0.0683,0.0381,0.0397,0.0298,0.0304,1,train
0.0581,0.0628,0.0672,0.039,0.037,0.0303,0.0306,1,train
0.0579,0.065,0.0704,0.0391,0.0368,0.0292,0.03,1,train
0.0579,0.0643,0.0711,0.0383,0.0384,0.0318,0.0309,1,train
0.0579,0.0646,0.0668,0.0366,0.0364,0.0284,0.0306,1,train
0.0581,0.0657,0.071,0.0406,0.04,0.0322,0.0329,1,train
0.0581,0.0674,0.0715,0.0401,0.0381,0.0329,0.0334,1,train
0.0582,0.0639,0.0706,0.0399,0.0401,0.0327,0.0318,1,train
0.0582,0.0648,0.0707,0.0394,0.0394,0.0322,0.0339,1,train
0.0585,0.066,0.0697,0.0384,0.0348,0.0311,0.0311,1,train
0.0585,0.0638,0.0692,0.039,0.0393,0.033,0.0319,1,train
0.0587,0.0671,0.0697,0.0395,0.0388,0.0318,0.0337,1,train
0.0587,0.0659,0.0694,0.0392,0.04,0.0336,0.0339,1,train
0.0586,0.0657,0.0707,0.0395,0.0405,0.0326,0.0341,1,train
0.0586,0.0661,0.0695,0.0397,0.0409,0.0335,0.0329,1,train
0.0584,0.0665,0.0684,0.0403,0.0401,0.0327,0.0336,1,train
0.0584,0.0654,0.068,0.0391,0.0393,0.0321,0.0327,1,train
0.059,0.0646,0.069,0.0398,0.0401,0.0317,0.0322,1,train
0.059,0.0667,0.0681,0.0389,0.0385,0.0321,0.033,1,train
0.0596,0.0694,0.0686,0.0393,0.0372,0.0311,0.032,1,train
0.0596,0.0687,0.0694,0.0409,0.0388,0.0312,0.0327,1,train
0.05955,0.0683,0.0704,0.041,0.04075,0.032,0.03355,1,train
0.05955,0.06905,0.0699,0.04195,0.0405,0.0329,0.0334,1,train
0.0601,0.07035,0.0747,0.0405,0.0385,0.03295,0.0332,1,train
0.0601,0.0688,0.07285,0.04085,0.03975,0.0309,0.0333,1,train
0.0587,0.0683,0.0722,0.03995,0.039,0.03295,0.03185,1,train
0.0587,0.0677,0.0722,0.04045,0.0379,0.03095,0.03255,1,train
0.0584,0.06635,0.072,0.03965,0.0394,0.0323,0.03335,1,train
0.0584,0.0664,0.072,0.0402,0.0412,0.0313,0.03285,1,train
0.0581,0.064,0.0687,0.0377,0.0391,0.0327,0.0315,1,train
0.0581,0.0646,0.0687,0.0389,0.0386,0.0314,0.0319,1,train
